"slc","ppe","egdd","esm","efm","eff","moistureDeduction","temperatureDeduction","basicClimateRating","springMoisture","fallMoisture","fallFrost","points","class"
990010,-279.8,1565,-8,-11.5,0,25.96,3.5,74.04,4.2,0,0,70.93032,"2A"
327003,6.9,815,47,70.3,0,0,74.25,25.75,9.7,7.03,0,21.442025,"5H"
596006,-238.3,1374,-23.5,-6.5,0,17.66,22.6,77.4,2.65,0,0,75.3489,"2AH"
660010,-258.1,1336,-12.4,-10.3,0,21.62,26.4,73.6,3.76,0,0,70.83264,"2AH"
920039,-96.5,574,3.9,45.8,0,0,86.3,13.7,5.39,4.58,0,12.33411,"6H"
905006,-212,709,-3.3,35.1,0,12.4,79.55,20.45,4.67,3.51,0,18.77719,"6H"
429008,-41,1058,29.4,76.3,0,0,54.2,45.8,7.94,7.63,0,38.66894,"4H"
950019,-147.3,666,43.3,7.3,0,0,81.7,18.3,9.33,0.73,0,16.45902,"6H"
972034,-266.6,1016,-25.5,-9,0,23.32,58.4,41.6,2.45,0,0,40.5808,"4AH"
867002,-80.1,459,10.8,42.7,0,0,92.05,7.95,6.08,4.27,0,7.127175,"7H"
992006,-221.1,1023,19.1,-16.8,0,14.22,57.7,42.3,6.91,0,0,39.37707,"4H"
1023002,-112.3,754,19.9,46.5,0,0,77.3,22.7,6.99,4.65,0,20.05772,"5H"
978027,-330.6,1187,-33.2,-33.1,0,36.12,41.3,58.7,1.68,0,0,57.71384,"3AH"
516048,-0.5,1666,85.8,28.5,0,0,0,106.6,10,2.85,0,92.9019,"1"
720001,-235.4,1544,-7.3,5.2,0,17.08,5.59999999999999,82.92,4.27,0.52,0,78.948132,"2A"
756008,-266.6,1524,-15.4,-19.2,0,23.32,7.59999999999999,76.68,3.46,0,0,74.026872,"2A"
385009,-142,1311,5.4,40.5,0,0,28.9,71.1,5.54,4.05,0,64.28151,"2H"
923091,-21.3,379,16.1,55.4,0,0,96.05,3.95,6.61,5.54,0,3.470075,"7H"
414003,-50.2,1173,28.5,66.6,0,0,42.7,57.3,7.85,6.66,0,48.98577,"3H"
939003,33.7,623,69.8,138.1,0,0,83.85,16.15,10,10,0,12.92,"6H"
235006,-215.5,1193,-1.9,17.8,0,13.1,40.7,59.3,4.81,1.78,0,55.39213,"3H"
495004,-150.9,1742,42.8,10.8,0,0.18,0,99.82,9.28,1.08,0,89.478648,"1"
955012,5.8,847,134.8,65.9,0,0,72.65,27.35,10,6.59,0,22.812635,"5H"
809014,-375.8,1632,-40.9,-44.4,0,45.16,0,54.84,0.91,0,0,54.340956,"3A"
640008,-201.3,1341,-8,19.6,0,10.26,25.9,74.1,4.2,1.96,0,69.53544,"2H"
311003,38.2,628,53.3,66.6,0,0,83.6,16.4,10,6.66,0,13.66776,"6H"
1003004,-108,473,40.2,10.8,0,0,91.35,8.65000000000001,9.02,1.08,0,7.77635000000001,"7H"
468033,-36.7,1213,76.1,54.5,0,0,38.7,61.3,10,5.45,0,51.82915,"3H"
752007,-273.4,1556,-16.6,-18.1,0,24.68,4.39999999999998,75.32,3.34,0,0,72.804312,"2A"
647008,-244.2,1331,-15.2,0.7,0,18.84,26.9,73.1,3.48,0.07,0,70.50495,"2AH"
935003,-16.7,462,11.2,46.7,0,0,91.9,8.09999999999999,6.12,4.67,0,7.22601,"7H"
432014,-1.5,883,43,78.1,0,0,70.85,29.15,9.3,7.81,0,24.162435,"5H"
504046,-109.8,1663,59.8,21.9,0,0,0,106.3,10,2.19,0,93.34203,"1"
372023,-134.6,1349,6,42.1,0,0,25.1,74.9,5.6,4.21,0,67.55231,"2H"
937008,-30.2,285,30.5,87.6,0,0,100.75,-0.75,8.05,8.76,0,-0.623925,"7H"
923013,-44.2,342,14.2,64.2,0,0,97.9,2.09999999999999,6.42,6.42,0,1.83036,"7H"
693001,-246.4,1369,-8.7,-3.3,0,19.28,23.1,76.9,4.13,0,0,73.72403,"2AH"
466009,-3.4,1041,60.2,55.4,0,0,55.9,44.1,10,5.54,0,37.24686,"4H"
353023,-205.5,1301,-5,23.1,0,11.1,29.9,70.1,4.5,2.31,0,65.32619,"2H"
493015,-146.3,1694,42.5,13,0,0,0,100.74,9.25,1.3,0,90.11193,"1"
13004,47.1,328,38.9,64.2,0,0,98.6,1.40000000000001,8.89,6.42,0,1.18566,"7H"
801001,-199.6,1287,15.9,-7.3,0,9.92,31.3,68.7,6.59,0,0,64.17267,"2H"
122003,25.8,168,17.7,41.7,0,0,106.6,-6.59999999999999,6.77,4.17,0,-5.87795999999999,"7H"
478008,-18.3,1198,61.4,45.4,0,0,40.2,59.8,10,4.54,0,51.10508,"3H"
807006,-364,1683,-33.9,-42.9,0,42.8,0,57.2,1.61,0,0,56.27908,"3A"
428022,-63.9,1018,26.3,71.4,0,0,58.2,41.8,7.63,7.14,0,35.62614,"4H"
828006,-389.8,1818,-39.3,-45.8,0,47.96,0,52.04,1.07,0,0,51.483172,"3A"
696012,-279.7,1444,-14.4,-16.6,0,25.94,15.6,74.06,3.56,0,0,71.423464,"2AH"
747004,-254.6,1496,-11.4,-9.7,0,20.92,10.4,79.08,3.86,0,0,76.027512,"2A"
504006,-131.1,1745,56,19.3,0,0,0,103.78,10,1.93,0,91.399046,"1"
730005,-230.7,1425,-19.6,-13,0,16.14,17.5,82.5,3.04,0,0,79.992,"2AH"
682007,-251.7,1352,-16.8,-3.5,0,20.34,24.8,75.2,3.32,0,0,72.70336,"2AH"
826019,-371.9,1656,-35.6,-49.1,0,44.38,0,55.62,1.44,0,0,54.819072,"3A"
1030038,-119,1078,18.2,58.4,0,0,52.2,47.8,6.82,5.84,0,41.74852,"4H"
830005,-340.8,1700,-31,-41.6,0,38.16,0,61.84,1.9,0,0,60.66504,"2A"
558011,-179.2,1941,31.8,9.5,0,5.84,0,94.16,8.18,0.95,0,85.563192,"1"
808007,-377.1,1700,-36,-47.6,0,45.42,0,54.58,1.4,0,0,53.81588,"3A"
220020,-253.7,1179,4.7,21.9,0,20.74,42.1,57.9,5.47,2.19,0,53.46486,"3AH"
964012,-223.1,1113,-15,10.5,0,14.62,48.7,51.3,3.5,1.05,0,48.96585,"3H"
830013,-343.7,1701,-28.7,-42.4,0,38.74,0,61.26,2.13,0,0,59.955162,"3A"
826025,-368.5,1580,-34.6,-49.3,0,43.7,2,56.3,1.54,0,0,55.43298,"3A"
961013,-53.8,427,21.6,76,0,0,93.65,6.34999999999999,7.16,7.6,0,5.41273999999999,"7H"
643009,-230.1,1334,-12.4,11.1,0,16.02,26.6,73.4,3.76,1.11,0,69.82542,"2AH"
353033,-182.8,1292,-4.5,36.3,0,6.56,30.8,69.2,4.55,3.63,0,63.53944,"2H"
507015,-125.2,1683,59.6,21.9,0,0,0,104.96,10,2.19,0,92.165376,"1"
923075,-48.8,426,11.3,53.5,0,0,93.7,6.3,6.13,5.35,0,5.57676,"7H"
944017,-146.6,846,7.9,50,0,0,72.7,27.3,5.79,5,0,24.35433,"5H"
372062,-130.6,1422,5.1,43,0,0,17.8,82.2,5.51,4.3,0,74.13618,"2H"
486014,-87.7,1375,42.8,32,0,0,22.5,77.5,9.28,3.2,0,67.828,"2H"
780004,-339.9,1560,-26.2,-35.5,0,37.98,4,62.02,2.38,0,0,60.543924,"2A"
339012,-166.2,1045,4.6,40.5,0,3.23999999999999,55.5,44.5,5.46,4.05,0,40.26805,"4H"
428018,-58.3,1036,27,72.6,0,0,56.4,43.6,7.7,7.26,0,37.07744,"4H"
889005,68.5,167,17.7,52.3,0,0,106.65,-6.65000000000001,6.77,5.23,0,-5.852,"7H"
1006026,-365.3,1245,-33,-45.4,0,43.06,35.5,56.94,1.7,0,0,55.97202,"3AH"
